docId,filename,0 â fo faid,1 day water put,2 â tom ll,3 men â king,4 king george man,5 â œ man,6 god â thy,7 â 1 ft,8 â love iâ,9 oâ ye â
66,104184172.txt,2.1703648017991134E-4,1.132294385505629E-4,1.5228165619525497E-4,1.4744964416932565E-4,1.7031606880174414E-4,0.30433145658260297,1.1966094390386036E-4,0.057910485487190966,0.3844165376937176,0.25242154600468786
67,104184173.txt,1.9337379309037882E-4,1.0088445041066857E-4,1.356789487746542E-4,0.10585385850132575,1.5174713587842083E-4,0.21168242245432528,1.0661475245213762E-4,0.11602135794881961,0.34250502016474016,0.223249041850183
68,104184174.txt,3.7476322088702136E-4,0.006598416734469427,2.62949177531981E-4,2.5460560142578453E-4,2.9408972381070265E-4,0.20215154478617864,2.0662204213143452E-4,0.058376873393055535,0.6797904987692862,0.051689636551223224
69,104184175.txt,3.621518535579677E-5,1.889371363487946E-5,0.13398332532137996,0.10644844407836467,0.1401737671591283,0.5281418407183095,1.9966888790933363E-5,0.047715781564880655,0.021141934197389856,0.02231983117276532
70,104184176.txt,0.0013960600371668568,1.6661741481299383E-5,0.07368505365372632,2.169725368338562E-5,0.021851031052033627,0.790139294670769,1.760813917525582E-5,0.07645487158368845,0.03637797268636233,3.974918191333877E-5
71,104184177.txt,4.041642718053368E-5,0.13847079963343603,2.8357815531493577E-5,0.05561450032118013,3.171617502594198E-5,0.5918272102479402,0.20061900114187317,0.0028430562360031667,0.010474639181142003,5.030282068728726E-5
72,104184178.txt,4.390274697183734E-5,2.290436790316454E-5,0.14929805618927103,2.9826526921590438E-5,0.050290260550883883,0.3387180529103735,0.2280505605153661,0.0019631681393613718,0.23152862611246275,5.4641940484718425E-5
73,104184179.txt,0.20853983723914105,1.6799238856224035E-5,2.2593204987968733E-5,2.1876305520667347E-5,2.5268873161248775E-5,3.954057283958479E-5,1.7753446490017787E-5,3.39584110303446E-4,0.058134104898616965,0.7328426421100828
74,104184180.txt,3.973055633689439E-5,0.21520160597964327,0.00851292698561261,2.6992035577006458E-5,3.1177948338439735E-5,0.43244695569862723,0.3112535539121995,0.03028637259749429,1.1482301220486323E-4,0.0020858612739658553
75,104184181.txt,3.8588164839452397E-4,0.19139427414960752,0.10246008941422081,0.23760514032948193,3.028147402815065E-4,0.4553812230724742,2.1275207856204535E-4,0.010662336637700639,0.001115214517700876,4.802734115759179E-4
76,104184182.txt,0.0120043037546146,3.462904860116455E-4,0.01180626356509947,0.13086714920628867,0.07423438490581474,0.31835017058708487,3.659600096186651E-4,0.001329734754240836,0.44986961278924015,8.261299419862284E-4
77,104184183.txt,3.458867083386521E-5,1.8045149716224025E-5,0.0029790385780818335,0.039912890439380434,0.0957616829731281,0.5661763580224553,0.26919859474746755,0.022821019404128028,9.996274252064369E-5,0.002997819272287946
